level,type,attribute,instance,message
error,entity_rule,IfcQuantityLength.WR22,"#67415=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T6_yOffset)',$,$,-0.14999999999999999,$)","(lengthvalue >= 0.0) Violated by: (-0.15 >= 0.0) On instance: #67415=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T6_yOffset)',$,$,-0.14999999999999999,$)"
error,entity_rule,IfcQuantityLength.WR22,"#75227=IfcQuantityLength('Horizontaler Abstand (gs_ah2)',$,$,-0.050000000000000003,$)","(lengthvalue >= 0.0) Violated by: (-0.05 >= 0.0) On instance: #75227=IfcQuantityLength('Horizontaler Abstand (gs_ah2)',$,$,-0.050000000000000003,$)"
error,entity_rule,IfcQuantityLength.WR22,"#75229=IfcQuantityLength('Horizontaler Abstand (gs_ah3)',$,$,-0.050000000000000003,$)","(lengthvalue >= 0.0) Violated by: (-0.05 >= 0.0) On instance: #75229=IfcQuantityLength('Horizontaler Abstand (gs_ah3)',$,$,-0.050000000000000003,$)"
error,entity_rule,IfcQuantityLength.WR22,"#75234=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T5_yOffset)',$,$,-0.14999999999999999,$)","(lengthvalue >= 0.0) Violated by: (-0.15 >= 0.0) On instance: #75234=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T5_yOffset)',$,$,-0.14999999999999999,$)"
error,entity_rule,IfcQuantityLength.WR22,"#75236=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T6_yOffset)',$,$,-0.14999999999999999,$)","(lengthvalue >= 0.0) Violated by: (-0.15 >= 0.0) On instance: #75236=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T6_yOffset)',$,$,-0.14999999999999999,$)"
error,entity_rule,IfcRelSpaceBoundary.CorrectPhysOrVirt,"#77426=IfcRelSpaceBoundary('2IcFpKExJ7L0xqSikQ$RMc',#12,'2ndLevel','2a',#33774,$,#77425,.VIRTUAL.,.EXTERNAL.)","(physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Physical and (not 'ifc4.ifcvirtualelement' in typeof(relatedbuildingelement)) or (physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Virtual and ('ifc4.ifcvirtualelement' in typeof(relatedbuildingelement) or 'ifc4.ifcopeningelement' in typeof(relatedbuildingelement))) or physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.NotDefined) Violated by: ((('VIRTUAL' == 'PHYSICAL') or ('VIRTUAL' == 'VIRTUAL' and ('ifc4.ifcvirtualelement' in set() or 'ifc4.ifcopeningelement' in set())) or 'VIRTUAL' == 'NOTDEFINED')) + where 'PHYSICAL' = IfcPhysicalOrVirtualEnum.Physical + and 'VIRTUAL' = IfcPhysicalOrVirtualEnum.Virtual + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and 'NOTDEFINED' = IfcPhysicalOrVirtualEnum.NotDefined On instance: #77426=IfcRelSpaceBoundary('2IcFpKExJ7L0xqSikQ$RMc',#12,'2ndLevel','2a',#33774,$,#77425,.VIRTUAL.,.EXTERNAL.)"
error,entity_rule,IfcRelSpaceBoundary.CorrectPhysOrVirt,"#77953=IfcRelSpaceBoundary('3ajGAdZJqM2TVCk7YhD3JS',#12,'2ndLevel','2a',#34191,$,#77952,.VIRTUAL.,.EXTERNAL.)","(physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Physical and (not 'ifc4.ifcvirtualelement' in typeof(relatedbuildingelement)) or (physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Virtual and ('ifc4.ifcvirtualelement' in typeof(relatedbuildingelement) or 'ifc4.ifcopeningelement' in typeof(relatedbuildingelement))) or physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.NotDefined) Violated by: ((('VIRTUAL' == 'PHYSICAL') or ('VIRTUAL' == 'VIRTUAL' and ('ifc4.ifcvirtualelement' in set() or 'ifc4.ifcopeningelement' in set())) or 'VIRTUAL' == 'NOTDEFINED')) + where 'PHYSICAL' = IfcPhysicalOrVirtualEnum.Physical + and 'VIRTUAL' = IfcPhysicalOrVirtualEnum.Virtual + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and 'NOTDEFINED' = IfcPhysicalOrVirtualEnum.NotDefined On instance: #77953=IfcRelSpaceBoundary('3ajGAdZJqM2TVCk7YhD3JS',#12,'2ndLevel','2a',#34191,$,#77952,.VIRTUAL.,.EXTERNAL.)"
error,entity_rule,IfcRelSpaceBoundary.CorrectPhysOrVirt,"#77981=IfcRelSpaceBoundary('2vfaTwq4m5$ujNRFPaGpdU',#12,'2ndLevel','2a',#34191,$,#77980,.VIRTUAL.,.EXTERNAL.)","(physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Physical and (not 'ifc4.ifcvirtualelement' in typeof(relatedbuildingelement)) or (physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Virtual and ('ifc4.ifcvirtualelement' in typeof(relatedbuildingelement) or 'ifc4.ifcopeningelement' in typeof(relatedbuildingelement))) or physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.NotDefined) Violated by: ((('VIRTUAL' == 'PHYSICAL') or ('VIRTUAL' == 'VIRTUAL' and ('ifc4.ifcvirtualelement' in set() or 'ifc4.ifcopeningelement' in set())) or 'VIRTUAL' == 'NOTDEFINED')) + where 'PHYSICAL' = IfcPhysicalOrVirtualEnum.Physical + and 'VIRTUAL' = IfcPhysicalOrVirtualEnum.Virtual + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and 'NOTDEFINED' = IfcPhysicalOrVirtualEnum.NotDefined On instance: #77981=IfcRelSpaceBoundary('2vfaTwq4m5$ujNRFPaGpdU',#12,'2ndLevel','2a',#34191,$,#77980,.VIRTUAL.,.EXTERNAL.)"
error,entity_rule,IfcRelSpaceBoundary.CorrectPhysOrVirt,"#78009=IfcRelSpaceBoundary('1$5LZayB5FfW_ApqaofJ6x',#12,'2ndLevel','2a',#34191,$,#78008,.VIRTUAL.,.EXTERNAL.)","(physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Physical and (not 'ifc4.ifcvirtualelement' in typeof(relatedbuildingelement)) or (physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Virtual and ('ifc4.ifcvirtualelement' in typeof(relatedbuildingelement) or 'ifc4.ifcopeningelement' in typeof(relatedbuildingelement))) or physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.NotDefined) Violated by: ((('VIRTUAL' == 'PHYSICAL') or ('VIRTUAL' == 'VIRTUAL' and ('ifc4.ifcvirtualelement' in set() or 'ifc4.ifcopeningelement' in set())) or 'VIRTUAL' == 'NOTDEFINED')) + where 'PHYSICAL' = IfcPhysicalOrVirtualEnum.Physical + and 'VIRTUAL' = IfcPhysicalOrVirtualEnum.Virtual + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and 'NOTDEFINED' = IfcPhysicalOrVirtualEnum.NotDefined On instance: #78009=IfcRelSpaceBoundary('1$5LZayB5FfW_ApqaofJ6x',#12,'2ndLevel','2a',#34191,$,#78008,.VIRTUAL.,.EXTERNAL.)"
error,entity_rule,IfcRelSpaceBoundary.CorrectPhysOrVirt,"#78592=IfcRelSpaceBoundary('2GnYVfNeYR6NOPkw4t5oDJ',#12,'2ndLevel','2a',#76214,$,#78591,.VIRTUAL.,.EXTERNAL.)","(physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Physical and (not 'ifc4.ifcvirtualelement' in typeof(relatedbuildingelement)) or (physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.Virtual and ('ifc4.ifcvirtualelement' in typeof(relatedbuildingelement) or 'ifc4.ifcopeningelement' in typeof(relatedbuildingelement))) or physicalorvirtualboundary == IfcPhysicalOrVirtualEnum.NotDefined) Violated by: ((('VIRTUAL' == 'PHYSICAL') or ('VIRTUAL' == 'VIRTUAL' and ('ifc4.ifcvirtualelement' in set() or 'ifc4.ifcopeningelement' in set())) or 'VIRTUAL' == 'NOTDEFINED')) + where 'PHYSICAL' = IfcPhysicalOrVirtualEnum.Physical + and 'VIRTUAL' = IfcPhysicalOrVirtualEnum.Virtual + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and set() = typeof(<indeterminate_type object at 0x000002893A3CE2D0>) + and 'NOTDEFINED' = IfcPhysicalOrVirtualEnum.NotDefined On instance: #78592=IfcRelSpaceBoundary('2GnYVfNeYR6NOPkw4t5oDJ',#12,'2ndLevel','2a',#76214,$,#78591,.VIRTUAL.,.EXTERNAL.)"
